Under 30,Married,Number of Dependents,Number of Referrals,Tenure in Months,Offer,Multiple Lines,Internet Service,Internet Type,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Total Charges,Total Revenue,Satisfaction Score,Churn Label
No,No,0,0,15,Offer D,No,Yes,Fiber Optic,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,1553.95,2242.75,2,Yes
Yes,No,0,0,1,Offer E,Yes,Yes,Cable,No,No,No,No,No,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,60.15,113.63,3,Yes
No,No,0,0,7,Offer E,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,593.45,844.82,2,Yes
No,Yes,0,1,53,Offer B,No,Yes,Fiber Optic,No,Yes,No,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,4867.95,5703.76,3,Yes
Yes,No,0,0,1,Offer E,Yes,Yes,Fiber Optic,No,No,No,No,No,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,74.9,76.74000000000001,3,Yes
No,No,0,0,1,Offer E,No,Yes,Fiber Optic,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,80.25,113.17,2,Yes
No,Yes,0,1,17,Offer D,No,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,1149.65,1914.14,2,Yes
No,Yes,0,1,11,Offer D,Yes,Yes,DSL,No,No,No,Yes,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,740.8,913.39,1,Yes
No,No,0,0,19,Offer D,Yes,Yes,Fiber Optic,No,No,No,No,No,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,1532.45,1950.24,1,Yes
No,Yes,0,1,3,Offer E,No,Yes,Fiber Optic,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,250.05,395.19000000000005,1,Yes
No,No,0,0,24,None,Yes,Yes,Fiber Optic,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,2282.55,3144.87,2,Yes
No,No,0,0,2,None,Yes,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,143.35,197.09,1,Yes
No,Yes,0,1,1,None,No,Yes,DSL,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,45.85,60.75,2,Yes
No,Yes,0,1,16,Offer D,No,Yes,DSL,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,810.2,810.2,1,Yes
No,Yes,0,1,34,None,No,Yes,Fiber Optic,No,No,No,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,2564.3,3021.6000000000004,3,Yes
No,No,0,0,3,None,Yes,Yes,Fiber Optic,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,228.4,353.54,2,Yes
No,No,0,0,1,None,No,Yes,DSL,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,45.3,79.66999999999999,3,Yes
No,No,0,0,15,Offer D,No,No,None,No,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,289.3,786.4000000000001,1,Yes
No,No,0,0,11,Offer D,Yes,Yes,Cable,No,No,No,Yes,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,987.95,1233.91,1,Yes
Yes,No,0,0,1,None,No,Yes,Cable,No,No,No,No,No,No,Yes,Yes,Month-to-Month,No,Credit Card,45.05,93.08,1,Yes
No,No,0,0,1,None,No,Yes,Fiber Optic,No,Yes,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,75.8,90.28,1,Yes
No,No,0,0,7,None,No,Yes,Fiber Optic,No,No,No,No,No,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,523.15,667.62,1,Yes
No,No,0,0,2,None,No,Yes,DSL,No,No,No,Yes,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,59.05,59.05,2,Yes
No,Yes,0,1,59,Offer B,Yes,Yes,Fiber Optic,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,6448.05,7787.9400000000005,1,Yes
Yes,Yes,0,1,8,None,No,Yes,Fiber Optic,Yes,No,No,No,No,No,Yes,Yes,Month-to-Month,No,Bank Withdrawal,632.95,675.6700000000001,1,Yes
No,No,0,0,6,None,No,Yes,Cable,No,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,270.95,527.91,2,Yes
No,Yes,0,1,11,Offer D,No,Yes,DSL,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,483.7,756.8299999999999,1,Yes
No,No,0,0,70,Offer A,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Credit Card,8127.6,8842.300000000001,1,Yes
Yes,No,0,0,18,None,Yes,Yes,Fiber Optic,No,No,No,No,Yes,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,1553.9,1993.1000000000001,3,Yes
No,Yes,0,1,34,None,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,3207.55,4680.77,2,Yes
No,Yes,0,1,47,Offer B,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,5124.55,5482.6900000000005,2,Yes
No,Yes,0,1,39,None,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,No,No,No,Yes,One Year,Yes,Bank Withdrawal,3474.45,4851.93,2,Yes
No,No,0,0,1,Offer E,No,No,None,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Credit Card,19.45,68.41,2,Yes
No,Yes,0,0,4,Offer E,No,No,None,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,76.35,126.07,1,Yes
No,Yes,0,1,59,Offer B,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,5961.1,6595.9400000000005,3,Yes
No,No,0,0,2,None,No,Yes,Cable,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Credit Card,96.45,160.95,1,Yes
No,No,0,0,1,Offer E,No,No,None,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,20.15,60.66,2,Yes
Yes,Yes,0,0,66,Offer A,Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,7133.25,7613.73,1,Yes
No,No,0,0,3,Offer E,No,Yes,DSL,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,169.45,178.08999999999997,1,Yes
No,Yes,0,1,14,None,Yes,Yes,Fiber Optic,No,No,Yes,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,1258.6,1667.12,2,Yes
No,Yes,0,1,10,None,No,Yes,Fiber Optic,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,857.2,970.2,1,Yes
No,No,0,0,18,None,Yes,Yes,Fiber Optic,No,No,No,Yes,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,1639.3,1867.36,3,Yes
No,No,0,0,9,Offer E,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,889.9,1010.53,2,Yes
Yes,No,0,0,4,Offer E,Yes,Yes,Fiber Optic,No,Yes,No,No,No,No,Yes,Yes,Month-to-Month,No,Bank Withdrawal,330.05,498.29,1,Yes
No,No,0,0,4,None,No,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,237.95,290.03,1,Yes
Yes,Yes,0,1,59,Offer B,No,Yes,DSL,No,Yes,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,2452.7,2452.7,2,Yes
No,Yes,0,1,10,None,Yes,Yes,Cable,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,813.85,1114.85,2,Yes
No,No,0,0,5,None,No,Yes,DSL,No,No,Yes,No,Yes,Yes,Yes,No,One Year,Yes,Credit Card,347.4,583.65,2,Yes
No,No,0,0,1,None,Yes,Yes,Cable,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,49.95,93.44,2,Yes
Yes,Yes,0,1,22,None,No,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,1554.0,2260.42,1,Yes
No,Yes,0,1,41,None,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,3001.2,3653.5099999999998,2,Yes
No,No,0,0,64,None,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Credit Card,6254.2,8054.5199999999995,1,Yes
Yes,No,0,0,18,None,No,Yes,DSL,No,No,No,No,No,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,553.0,623.0,2,Yes
Yes,No,0,0,1,None,Yes,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,76.0,111.00999999999999,1,Yes
No,Yes,0,1,15,None,No,Yes,Cable,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,1308.4,1732.9,1,Yes
No,Yes,0,1,15,None,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,1504.05,2114.55,2,Yes
No,No,0,0,1,None,Yes,Yes,Cable,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,50.45,78.7,3,Yes
Yes,No,0,0,12,None,Yes,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,Yes,No,Month-to-Month,Yes,Credit Card,1132.75,1590.67,1,Yes
No,No,0,0,2,None,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,193.6,272.84,1,Yes
Yes,No,0,0,4,None,Yes,Yes,Fiber Optic,No,No,No,Yes,No,No,Yes,Yes,Month-to-Month,No,Credit Card,332.45,501.77,2,Yes
No,Yes,0,1,16,None,Yes,Yes,Cable,No,Yes,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,1534.75,2140.0299999999997,1,Yes
No,No,0,0,1,None,No,No,None,No,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,20.55,36.46,2,Yes
No,No,0,0,5,None,Yes,Yes,Fiber Optic,No,Yes,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,424.15,606.75,1,Yes
Yes,No,0,0,4,None,No,Yes,Fiber Optic,No,No,No,No,No,No,Yes,No,Month-to-Month,No,Bank Withdrawal,281.0,515.48,1,Yes
Yes,No,0,0,37,None,Yes,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,3475.55,4612.1900000000005,1,Yes
No,Yes,0,1,13,None,Yes,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,896.75,934.71,1,Yes
No,No,0,0,24,None,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,2407.3,3311.86,1,Yes
No,Yes,0,1,61,None,Yes,Yes,Cable,Yes,Yes,No,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,6547.7,9411.65,1,Yes
Yes,No,0,0,41,None,Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,4346.4,6303.74,1,Yes
No,No,0,0,2,Offer E,No,Yes,DSL,No,Yes,No,Yes,No,No,No,Yes,Month-to-Month,Yes,Credit Card,102.75,187.85,1,Yes
No,Yes,0,1,8,Offer E,No,No,None,No,No,No,No,No,No,No,No,One Year,Yes,Credit Card,145.0,514.04,3,Yes
No,No,0,0,17,None,No,Yes,Fiber Optic,No,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,1313.55,1833.92,2,Yes
No,No,0,0,2,Offer E,No,Yes,DSL,Yes,Yes,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,72.4,72.4,2,Yes
No,No,0,0,29,None,No,Yes,DSL,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,1970.5,2000.08,1,Yes
No,Yes,0,1,2,None,No,Yes,Fiber Optic,No,No,Yes,Yes,No,Yes,Yes,Yes,Month-to-Month,No,Credit Card,190.05,283.89,2,Yes
No,No,0,0,14,Offer D,No,Yes,Cable,No,No,Yes,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,1025.95,1288.31,2,Yes
No,No,0,0,8,Offer E,Yes,Yes,Fiber Optic,No,Yes,No,No,Yes,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,819.55,845.7099999999999,2,Yes
No,Yes,0,1,5,Offer E,No,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,330.15,415.54999999999995,2,Yes
No,Yes,0,1,63,None,Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,Yes,No,One Year,Yes,Bank Withdrawal,6873.75,7055.34,3,Yes
No,No,0,0,1,Offer E,No,Yes,Cable,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,45.85,90.6,2,Yes
No,Yes,0,1,53,None,No,Yes,Fiber Optic,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,5769.75,7364.52,3,Yes
Yes,No,0,0,1,Offer E,No,Yes,Fiber Optic,No,Yes,No,Yes,Yes,No,Yes,Yes,Month-to-Month,No,Bank Withdrawal,91.7,108.93,3,Yes
No,No,0,0,16,Offer D,Yes,Yes,Fiber Optic,No,Yes,Yes,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,1555.65,1859.49,1,Yes
No,No,0,0,1,Offer E,Yes,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.95,105.02000000000001,1,Yes
No,No,0,0,66,Offer A,No,Yes,Cable,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,6710.5,8414.62,2,Yes
No,Yes,0,1,17,Offer D,No,Yes,Fiber Optic,No,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,1704.95,1796.75,2,Yes
No,No,0,0,7,Offer E,No,Yes,DSL,No,No,No,Yes,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,415.95,431.63,3,Yes
No,Yes,0,1,42,None,No,Yes,Fiber Optic,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,3384.0,4812.84,1,Yes
No,No,0,0,30,None,No,Yes,Fiber Optic,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,2755.35,3657.1499999999996,2,Yes
No,No,0,0,15,Offer D,Yes,Yes,DSL,Yes,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,994.55,1708.1,1,Yes
No,Yes,0,1,67,Offer A,Yes,Yes,Cable,No,Yes,Yes,No,No,No,No,Yes,One Year,No,Bank Withdrawal,5918.8,7821.6,2,Yes
No,No,0,0,35,None,Yes,Yes,Fiber Optic,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,3029.1,3696.55,1,Yes
Yes,Yes,0,1,56,None,Yes,Yes,Fiber Optic,No,Yes,No,No,Yes,Yes,Yes,No,One Year,Yes,Bank Withdrawal,5508.35,6731.31,1,Yes
No,Yes,0,1,9,Offer E,No,Yes,Fiber Optic,No,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,655.9,941.65,3,Yes
No,No,0,0,48,None,Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Credit Card,5082.8,6269.84,1,Yes
Yes,No,0,0,34,None,Yes,Yes,Fiber Optic,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,3587.25,3858.91,1,Yes
No,Yes,0,1,11,Offer D,No,Yes,Fiber Optic,No,No,No,No,Yes,No,No,No,Month-to-Month,Yes,Bank Withdrawal,868.5,1065.13,1,Yes
No,No,0,0,1,Offer E,Yes,Yes,Fiber Optic,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,No,Credit Card,85.8,120.27,3,Yes
Yes,Yes,0,1,3,Offer E,No,Yes,DSL,No,No,No,No,No,No,Yes,Yes,Month-to-Month,No,Credit Card,134.5,267.88,2,Yes
No,Yes,0,0,50,None,Yes,Yes,Fiber Optic,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,No,Credit Card,5341.8,6385.8,1,Yes
No,No,0,0,5,Offer E,No,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,324.6,480.3,1,Yes
No,Yes,0,1,51,None,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,4812.75,5887.83,1,Yes
No,No,0,0,46,None,Yes,Yes,Cable,No,No,No,No,Yes,Yes,Yes,No,Month-to-Month,No,Bank Withdrawal,4399.5,4763.78,2,Yes
No,Yes,0,1,41,None,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,4594.95,4800.36,1,Yes
No,No,0,0,29,None,No,Yes,Fiber Optic,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,2384.15,3669.7200000000003,2,Yes
No,Yes,0,1,26,None,Yes,Yes,DSL,No,Yes,No,Yes,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,1616.15,2196.73,2,Yes
No,No,0,0,1,Offer E,No,Yes,DSL,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,34.7,34.7,3,Yes
No,No,0,0,3,Offer E,Yes,Yes,Fiber Optic,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,264.8,307.64,1,Yes
No,Yes,0,1,66,Offer A,Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,Yes,No,One Year,Yes,Credit Card,6615.15,9963.97,1,Yes
Yes,Yes,0,1,21,Offer D,Yes,Yes,Fiber Optic,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,2200.25,3009.17,1,Yes
No,No,0,0,1,None,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,99.75,140.46,1,Yes
No,No,0,0,4,None,No,Yes,DSL,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,299.7,415.26,2,Yes
Yes,No,0,0,9,None,No,Yes,Fiber Optic,Yes,No,No,No,No,No,Yes,Yes,Month-to-Month,Yes,Credit Card,639.65,764.39,1,Yes
No,No,0,0,1,None,Yes,Yes,Cable,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,59.85,81.9,2,Yes
No,No,0,0,9,None,No,Yes,Cable,No,No,No,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,418.8,438.8,1,Yes
No,No,0,0,1,None,No,No,None,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,19.5,51.95,2,Yes
No,No,0,0,1,None,No,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,69.9,115.4,2,Yes
No,No,0,0,2,None,No,Yes,Fiber Optic,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,183.75,196.15,2,Yes
No,Yes,0,1,3,None,Yes,Yes,Fiber Optic,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,264.85,379.12,1,Yes
No,No,0,0,14,Offer D,Yes,Yes,Cable,No,No,No,Yes,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,1178.4,1579.5,2,Yes
No,No,0,0,2,None,No,Yes,Fiber Optic,No,No,No,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,143.65,240.97,3,Yes
No,No,0,0,18,Offer D,No,No,None,No,No,No,No,No,No,No,No,One Year,No,Bank Withdrawal,390.85,551.95,3,Yes
No,No,0,0,1,None,No,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,71.65,89.19,1,Yes
No,No,0,0,4,None,No,No,None,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,77.5,228.14,3,Yes
Yes,No,0,0,38,None,No,Yes,Fiber Optic,No,Yes,Yes,Yes,No,No,Yes,Yes,Month-to-Month,Yes,Credit Card,3264.5,3935.58,2,Yes
No,No,0,0,12,Offer D,No,Yes,Fiber Optic,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,947.3,1457.8999999999999,3,Yes
Yes,Yes,0,1,19,Offer D,Yes,Yes,Fiber Optic,No,No,Yes,No,No,Yes,Yes,No,Month-to-Month,No,Credit Card,1761.05,2253.54,3,Yes
No,No,0,0,10,Offer D,Yes,Yes,Fiber Optic,Yes,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,973.25,1346.85,1,Yes
No,No,0,0,1,None,No,Yes,Cable,No,No,Yes,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,76.35,83.61,2,Yes
No,No,0,0,23,Offer D,Yes,Yes,Fiber Optic,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,1676.95,2446.0699999999997,1,Yes
No,No,0,0,31,None,Yes,Yes,Fiber Optic,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,2697.4,3732.1800000000003,3,Yes
No,No,0,0,19,Offer D,No,Yes,Fiber Optic,No,Yes,No,No,No,No,No,No,Month-to-Month,Yes,Credit Card,1424.5,1588.51,3,Yes
No,No,0,0,24,None,No,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,2122.45,2716.6899999999996,1,Yes
No,No,0,0,1,None,No,No,None,No,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,20.05,32.05,2,Yes
No,Yes,0,0,65,None,Yes,Yes,Fiber Optic,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,6937.95,9660.15,1,Yes
Yes,No,0,0,10,Offer D,No,Yes,Cable,No,No,No,No,No,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,402.6,747.0,1,Yes
No,Yes,0,1,2,Offer E,No,Yes,DSL,No,No,No,No,No,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,68.75,78.75,2,Yes
No,No,0,0,1,Offer E,No,Yes,DSL,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Credit Card,46.2,94.78,2,Yes
Yes,No,0,0,1,Offer E,No,Yes,DSL,No,No,No,No,No,No,Yes,Yes,Month-to-Month,No,Bank Withdrawal,45.15,76.07,3,Yes
No,Yes,0,1,19,Offer D,No,Yes,Fiber Optic,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,1441.1,1930.35,2,Yes
No,No,0,0,52,None,No,Yes,Fiber Optic,No,Yes,No,No,No,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,4338.6,6931.360000000001,3,Yes
Yes,No,0,0,1,Offer E,No,Yes,DSL,No,No,No,No,No,No,Yes,Yes,Month-to-Month,No,Credit Card,45.95,51.07,2,Yes
No,No,0,0,3,Offer E,No,Yes,Fiber Optic,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,247.25,386.33,2,Yes
No,No,0,0,1,None,No,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,70.05,97.94,2,Yes
No,No,0,0,2,Offer E,Yes,Yes,Fiber Optic,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,165.45,252.39,2,Yes
No,No,0,0,16,Offer D,Yes,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,1194.3,1946.1399999999999,1,Yes
No,Yes,0,1,1,Offer E,No,No,None,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,21.0,37.66,2,Yes
Yes,No,0,0,56,None,Yes,Yes,Fiber Optic,No,Yes,No,Yes,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,5124.6,6547.56,3,Yes
No,No,0,0,44,None,Yes,Yes,Fiber Optic,No,Yes,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,3862.55,5630.030000000001,2,Yes
No,No,0,0,1,Offer E,No,Yes,DSL,No,No,Yes,No,No,No,No,Yes,Month-to-Month,No,Credit Card,50.9,57.85,1,Yes
Yes,Yes,0,1,49,None,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,4872.45,7302.51,1,Yes
No,Yes,0,1,47,None,Yes,Yes,Fiber Optic,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,5118.95,6892.73,2,Yes
No,Yes,0,1,31,None,No,No,None,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Credit Card,658.95,1591.12,3,Yes
No,No,0,0,3,Offer E,No,Yes,Fiber Optic,Yes,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,246.5,343.78999999999996,1,Yes
No,No,0,0,8,None,No,Yes,DSL,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Mailed Check,215.2,215.2,2,Yes
No,No,0,0,2,None,No,Yes,Fiber Optic,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,159.45,169.67,3,Yes
Yes,Yes,0,0,65,None,Yes,Yes,Fiber Optic,No,Yes,No,No,Yes,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,5940.85,8329.6,3,Yes
No,No,0,0,1,None,No,Yes,Fiber Optic,No,Yes,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,75.35,118.16999999999999,3,Yes
No,No,0,0,1,None,Yes,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,75.45,87.03,3,Yes
No,No,0,0,24,None,No,Yes,DSL,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,1210.4,1555.7600000000002,1,Yes
No,No,0,0,69,Offer A,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,One Year,Yes,Credit Card,5356.45,7383.67,1,Yes
No,Yes,0,1,7,None,No,Yes,Fiber Optic,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,576.65,657.71,2,Yes
